id,name,rank,details,GENUS,SUBFAMILY,FAMILY,SUPERFAMILY,ORDER,SPECIES,SUBTRIBE,TRIBE
5594,Abrenthia sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/5594/,Abrenthia,Glyphipteriginae,Glyphipterigidae,Yponomeutoidea,Lepidoptera,,,
11308,Abrochocis esperanza,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11308/,Abrochocis,Arctiinae,Erebidae,Noctuoidea,Lepidoptera,Abrochocis esperanza,,Lithosiini
7898,Abrochocis sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/7898/,Abrochocis,Arctiinae,Erebidae,Noctuoidea,Lepidoptera,,,Lithosiini
765,Abrostola asclepiadis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/765/,Abrostola,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,Abrostola asclepiadis,,Abrostolini
5020,Abrostola ovalis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5020/,Abrostola,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,Abrostola ovalis,,Abrostolini
763,Abrostola sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/763/,Abrostola,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,,,Abrostolini
766,Abrostola tripartita,SPECIES,https://api.dev.insectai.org/api/v2/taxa/766/,Abrostola,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,Abrostola tripartita,,Abrostolini
764,Abrostola triplasia,SPECIES,https://api.dev.insectai.org/api/v2/taxa/764/,Abrostola,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,Abrostola triplasia,,Abrostolini
5019,Abrostola urentis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5019/,Abrostola,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,Abrostola urentis,,Abrostolini
11407,Abrostolini,TRIBE,https://api.dev.insectai.org/api/v2/taxa/11407/,,Plusiinae,Noctuidae,Noctuoidea,Lepidoptera,,,Abrostolini
6050,Acallis alticolalis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6050/,Acallis,Chrysauginae,Pyralidae,Pyraloidea,Lepidoptera,Acallis alticolalis,,
6049,Acallis sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/6049/,Acallis,Chrysauginae,Pyralidae,Pyraloidea,Lepidoptera,,,
1885,Acanthopsyche atra,SPECIES,https://api.dev.insectai.org/api/v2/taxa/1885/,Acanthopsyche,Oiketicinae,Psychidae,Tineoidea,Lepidoptera,Acanthopsyche atra,,
1884,Acanthopsyche sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/1884/,Acanthopsyche,Oiketicinae,Psychidae,Tineoidea,Lepidoptera,,,
4020,Acasis sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/4020/,Acasis,Larentiinae,Geometridae,Geometroidea,Lepidoptera,,,Trichopterygini
4021,Acasis viretata,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4021/,Acasis,Larentiinae,Geometridae,Geometroidea,Lepidoptera,Acasis viretata,,Trichopterygini
6398,Acasis viridata,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6398/,Acasis,Larentiinae,Geometridae,Geometroidea,Lepidoptera,Acasis viridata,,Trichopterygini
3111,Acentria ephemerella,SPECIES,https://api.dev.insectai.org/api/v2/taxa/3111/,Acentria,Acentropinae,Crambidae,Pyraloidea,Lepidoptera,Acentria ephemerella,,
3110,Acentria sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/3110/,Acentria,Acentropinae,Crambidae,Pyraloidea,Lepidoptera,,,
7737,Acentropinae,SUBFAMILY,https://api.dev.insectai.org/api/v2/taxa/7737/,,Acentropinae,Crambidae,Pyraloidea,Lepidoptera,,,
11307,Achaeops esperanza,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11307/,Achaeops,,Noctuidae,Noctuoidea,Lepidoptera,Achaeops esperanza,,
9137,Achaeops sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/9137/,Achaeops,,Noctuidae,Noctuoidea,Lepidoptera,,,
11306,Acharia apicalis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11306/,Acharia,Limacodinae,Limacodidae,Zygaenoidea,Lepidoptera,Acharia apicalis,,
7438,Acharia sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/7438/,Acharia,Limacodinae,Limacodidae,Zygaenoidea,Lepidoptera,,,
7439,Acharia stimulea,SPECIES,https://api.dev.insectai.org/api/v2/taxa/7439/,Acharia,Limacodinae,Limacodidae,Zygaenoidea,Lepidoptera,Acharia stimulea,,
5462,Achatia confusa,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5462/,Achatia,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Achatia confusa,,Orthosiini
5464,Achatia distincta,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5464/,Achatia,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Achatia distincta,,Orthosiini
5460,Achatia evicta,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5460/,Achatia,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Achatia evicta,,Orthosiini
5467,Achatia latex,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5467/,Achatia,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Achatia latex,,Orthosiini
5465,Achatia mucens,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5465/,Achatia,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Achatia mucens,,Orthosiini
5459,Achatia sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/5459/,Achatia,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,,,Orthosiini
4976,Achatodes sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/4976/,Achatodes,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,,,Apameini
4977,Achatodes zeae,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4977/,Achatodes,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Achatodes zeae,,Apameini
2118,Acherontia atropos,SPECIES,https://api.dev.insectai.org/api/v2/taxa/2118/,Acherontia,Sphinginae,Sphingidae,Bombycoidea,Lepidoptera,Acherontia atropos,Acherontiina,Sphingini
2117,Acherontia sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/2117/,Acherontia,Sphinginae,Sphingidae,Bombycoidea,Lepidoptera,,Acherontiina,Sphingini
8884,Acherontiina,SUBTRIBE,https://api.dev.insectai.org/api/v2/taxa/8884/,,Sphinginae,Sphingidae,Bombycoidea,Lepidoptera,,Acherontiina,Sphingini
2558,Achlya flavicornis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/2558/,Achlya,Thyatirinae,Drepanidae,Drepanoidea,Lepidoptera,Achlya flavicornis,,
2557,Achlya sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/2557/,Achlya,Thyatirinae,Drepanidae,Drepanoidea,Lepidoptera,,,
8752,Achlyodes sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/8752/,Achlyodes,Pyrginae,Hesperiidae,Papilionoidea,Lepidoptera,,Achlyodina,Achlyodini
8751,Achlyodina,SUBTRIBE,https://api.dev.insectai.org/api/v2/taxa/8751/,,Pyrginae,Hesperiidae,Papilionoidea,Lepidoptera,,Achlyodina,Achlyodini
8750,Achlyodini,TRIBE,https://api.dev.insectai.org/api/v2/taxa/8750/,,Pyrginae,Hesperiidae,Papilionoidea,Lepidoptera,,,Achlyodini
2180,Achroia grisella,SPECIES,https://api.dev.insectai.org/api/v2/taxa/2180/,Achroia,Galleriinae,Pyralidae,Pyraloidea,Lepidoptera,Achroia grisella,,Galleriini
2179,Achroia sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/2179/,Achroia,Galleriinae,Pyralidae,Pyraloidea,Lepidoptera,,,Galleriini
6286,Achyra rantalis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6286/,Achyra,Pyraustinae,Crambidae,Pyraloidea,Lepidoptera,Achyra rantalis,,Pyraustini
6285,Achyra sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/6285/,Achyra,Pyraustinae,Crambidae,Pyraloidea,Lepidoptera,,,Pyraustini
11303,Acidaliodes enona,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11303/,Acidaliodes,Boletobiinae,Erebidae,Noctuoidea,Lepidoptera,Acidaliodes enona,,Araeopteronini
11304,Acidaliodes mela,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11304/,Acidaliodes,Boletobiinae,Erebidae,Noctuoidea,Lepidoptera,Acidaliodes mela,,Araeopteronini
7984,Acidaliodes sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/7984/,Acidaliodes,Boletobiinae,Erebidae,Noctuoidea,Lepidoptera,,,Araeopteronini
11305,Acidaliodes umber,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11305/,Acidaliodes,Boletobiinae,Erebidae,Noctuoidea,Lepidoptera,Acidaliodes umber,,Araeopteronini
4117,Acleris abietana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4117/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris abietana,,Tortricini
4569,Acleris albicomana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4569/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris albicomana,,Tortricini
4566,Acleris arcticana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4566/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris arcticana,,Tortricini
285,Acleris aspersana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/285/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris aspersana,,Tortricini
273,Acleris bergmanniana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/273/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris bergmanniana,,Tortricini
298,Acleris boscana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/298/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris boscana,,Tortricini
7531,Acleris bowmanana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/7531/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris bowmanana,,Tortricini
4568,Acleris braunana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4568/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris braunana,,Tortricini
4563,Acleris busckana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4563/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris busckana,,Tortricini
287,Acleris caledoniana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/287/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris caledoniana,,Tortricini
4561,Acleris caliginosana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4561/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris caliginosana,,Tortricini
4556,Acleris celiana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4556/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris celiana,,Tortricini
4553,Acleris cervinana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4553/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris cervinana,,Tortricini
4551,Acleris chalybeana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4551/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris chalybeana,,Tortricini
4547,Acleris clarkei,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4547/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris clarkei,,Tortricini
4544,Acleris comandrana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4544/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris comandrana,,Tortricini
274,Acleris comariana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/274/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris comariana,,Tortricini
4570,Acleris cornana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4570/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris cornana,,Tortricini
275,Acleris cristana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/275/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris cristana,,Tortricini
4539,Acleris curvalana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4539/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris curvalana,,Tortricini
293,Acleris effractana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/293/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris effractana,,Tortricini
292,Acleris emargana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/292/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris emargana,,Tortricini
270,Acleris ferrugana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/270/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris ferrugana,,Tortricini
290,Acleris fimbriana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/290/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris fimbriana,,Tortricini
4558,Acleris flavivittana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4558/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris flavivittana,,Tortricini
4554,Acleris forbesana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4554/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris forbesana,,Tortricini
280,Acleris forsskaleana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/280/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris forsskaleana,,Tortricini
4545,Acleris fragariana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4545/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris fragariana,,Tortricini
7062,Acleris fuscana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/7062/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris fuscana,,Tortricini
300,Acleris hastiana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/300/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris hastiana,,Tortricini
286,Acleris holmiana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/286/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris holmiana,,Tortricini
4559,Acleris hudsoniana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4559/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris hudsoniana,,Tortricini
284,Acleris hyemana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/284/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris hyemana,,Tortricini
4549,Acleris implexana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4549/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris implexana,,Tortricini
4542,Acleris inana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4542/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris inana,,Tortricini
4572,Acleris kearfottana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4572/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris kearfottana,,Tortricini
299,Acleris kochiella,SPECIES,https://api.dev.insectai.org/api/v2/taxa/299/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris kochiella,,Tortricini
294,Acleris laterana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/294/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris laterana,,Tortricini
283,Acleris lipsiana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/283/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris lipsiana,,Tortricini
281,Acleris literana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/281/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris literana,,Tortricini
282,Acleris logiana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/282/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris logiana,,Tortricini
272,Acleris lorquiniana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/272/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris lorquiniana,,Tortricini
296,Acleris maccana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/296/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris maccana,,Tortricini
4565,Acleris macdunnoughi,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4565/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris macdunnoughi,,Tortricini
4564,Acleris maculidorsana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4564/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris maculidorsana,,Tortricini
4560,Acleris maximana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4560/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris maximana,,Tortricini
4557,Acleris minuta,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4557/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris minuta,,Tortricini
4543,Acleris negundana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4543/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris negundana,,Tortricini
4574,Acleris nigrolinea,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4574/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris nigrolinea,,Tortricini
4573,Acleris nivisellana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4573/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris nivisellana,,Tortricini
297,Acleris notana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/297/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris notana,,Tortricini
4552,Acleris oxycoccana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4552/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris oxycoccana,,Tortricini
277,Acleris permutana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/277/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris permutana,,Tortricini
4336,Acleris placidana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4336/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris placidana,,Tortricini
4571,Acleris ptychogrammos,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4571/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris ptychogrammos,,Tortricini
295,Acleris quercinana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/295/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris quercinana,,Tortricini
288,Acleris rhombana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/288/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris rhombana,,Tortricini
4555,Acleris robinsoniana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4555/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris robinsoniana,,Tortricini
278,Acleris rufana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/278/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris rufana,,Tortricini
289,Acleris schalleriana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/289/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris schalleriana,,Tortricini
4550,Acleris semiannula,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4550/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris semiannula,,Tortricini
4546,Acleris semipurpurana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4546/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris semipurpurana,,Tortricini
271,Acleris shepherdana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/271/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris shepherdana,,Tortricini
4540,Acleris simpliciana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4540/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris simpliciana,,Tortricini
269,Acleris sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/269/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,,,Tortricini
291,Acleris sparsana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/291/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris sparsana,,Tortricini
4548,Acleris stadiana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4548/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris stadiana,,Tortricini
3081,Acleris stettinensis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/3081/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris stettinensis,,Tortricini
4567,Acleris subnivana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4567/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris subnivana,,Tortricini
279,Acleris umbrana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/279/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris umbrana,,Tortricini
4541,Acleris variana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4541/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris variana,,Tortricini
276,Acleris variegana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/276/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris variegana,,Tortricini
4562,Acleris youngana,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4562/,Acleris,Tortricinae,Tortricidae,Tortricoidea,Lepidoptera,Acleris youngana,,Tortricini
11298,Aclytia albistriga,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11298/,Aclytia,Arctiinae,Erebidae,Noctuoidea,Lepidoptera,Aclytia albistriga,Ctenuchina,Arctiini
11300,Aclytia gynamorpha,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11300/,Aclytia,Arctiinae,Erebidae,Noctuoidea,Lepidoptera,Aclytia gynamorpha,Ctenuchina,Arctiini
11301,Aclytia heber,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11301/,Aclytia,Arctiinae,Erebidae,Noctuoidea,Lepidoptera,Aclytia heber,Ctenuchina,Arctiini
