Filename,Identifier,scientificName,CommonName,Comments,ScientificName
"moth_Notodontidae,I_PBA25111.jpg",I_PBA25111,Notodontidae,,,
"Rhabdatomis_laudamia,I_PBA25112.jpg",I_PBA25112,Rhabdatomis laudamia,,,
"moth_Noctuidae,I_PBA25113.jpg",I_PBA25113,Noctuidae,,,
"moth_Crambidae,I_PBA25114.jpg",I_PBA25114,Crambidae,,,
"Nematocampa_completa,I_PBA25115.jpg",I_PBA25115,Nematocampa completa,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25116.jpg",I_PBA25116,Iridopsis lurida--oberthuri--herse,,,
"Elaphria_subobliqua,I_PBA25117.jpg",I_PBA25117,Elaphria subobliqua,,,
"moth_Notodontidae,I_PBA25118.jpg",I_PBA25118,Notodontidae,,,
"Nemoria_vermiculata,I_PBA25119.jpg",I_PBA25119,Nemoria vermiculata,,,
"moth_Geometridae,I_PBA25120.jpg",I_PBA25120,Geometridae,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25121.jpg",I_PBA25121,Iridopsis lurida--oberthuri--herse,,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25122.jpg",I_PBA25122,Afrida ydatodes,Dyars Lichen Moth,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25123.jpg",I_PBA25123,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Crambidae,I_PBA25124.jpg",I_PBA25124,Crambidae,,,
"moth_Notodontidae,I_PBA25125.jpg",I_PBA25125,Notodontidae,,,
"Epimecis_matronaria--nasica,I_PBA25126.jpg",I_PBA25126,Epimecis matronaria--nasica,,,
"moth_Hemiceras,I_PBA25127.jpg",I_PBA25127,Hemiceras,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25128.jpg",I_PBA25128,Iridopsis lurida--oberthuri--herse,,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25129.jpg",I_PBA25129,Afrida ydatodes,Dyars Lichen Moth,,
"moth_Noctuidae,I_PBA25130.jpg",I_PBA25130,Noctuidae,,,
"Macaria_approximaria--gambarina--ostia,I_PBA25131.jpg",I_PBA25131,Macaria approximaria--gambarina--ostia,,,
"moth_Crambidae,I_PBA25132.jpg",I_PBA25132,Crambidae,,,
"moth_Noctuidae,I_PBA25133.jpg",I_PBA25133,Noctuidae,,,
"Synnomos_sp_san_luis_a,I_PBA25134.jpg",I_PBA25134,Synnomos sp_san_luis_a,,,
"moth_Geometridae,I_PBA25135.jpg",I_PBA25135,Geometridae,,,
"Patalene_aenetusaria,I_PBA25136.jpg",I_PBA25136,Patalene aenetusaria,,,
"Meganola_sp_san_luis_b,I_PBA25137.jpg",I_PBA25137,Meganola sp_san_luis_b,,,
"moth,I_PBA25138.jpg",I_PBA25138,moth,,,
"moth_Arctiidae,I_PBA25139.jpg",I_PBA25139,Arctiidae,,,
"Nemoria_defectiva,I_PBA25140.jpg",I_PBA25140,Nemoria defectiva,,,
"Euphyia_sp_group_san_luis,I_PBA25141.jpg",I_PBA25141,Euphyia sp_group_san_luis,,,
"Lobocleta_tenellata,I_PBA25142.jpg",I_PBA25142,Lobocleta tenellata,,,
"moth_Geometridae,I_PBA25143.jpg",I_PBA25143,Geometridae,,,
"Eupithecia_sp_group_san_luis,I_PBA25144.jpg",I_PBA25144,Eupithecia sp_group_san_luis,,,
"Bryolymnia_roma,I_PBA25145.jpg",I_PBA25145,Bryolymnia roma,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25146.jpg",I_PBA25146,Iridopsis lurida--oberthuri--herse,,,
"moth_Crambidae,I_PBA25147.jpg",I_PBA25147,Crambidae,,,
"Hampsonodes_mastoides,I_PBA25148.jpg",I_PBA25148,Hampsonodes mastoides,,,
"Trygodes_amphion,I_PBA25149.jpg",I_PBA25149,Trygodes amphion,,,
"Microxydia_ruficomma,I_PBA25150.jpg",I_PBA25150,Microxydia ruficomma,,,
"moth_Noctuidae,I_PBA25151.jpg",I_PBA25151,Noctuidae,,,
"moth_Notodontidae,I_PBA25152.jpg",I_PBA25152,Notodontidae,,,
"Hypercompe_nemophila,I_PBA25153.jpg",I_PBA25153,Hypercompe nemophila,,,
"moth_Geometridae,I_PBA25154.jpg",I_PBA25154,Geometridae,,,
"moth_Crambidae,I_PBA25155.jpg",I_PBA25155,Crambidae,,,
"moth,I_PBA25156.jpg",I_PBA25156,moth,,,
"moth_Noctuidae,I_PBA25157.jpg",I_PBA25157,Noctuidae,,,
"moth,I_PBA25158.jpg",I_PBA25158,moth,,,
"moth_Pyralidae,I_PBA25159.jpg",I_PBA25159,Pyralidae,,,
"Synchlora_astraeoides,I_PBA25160.jpg",I_PBA25160,Synchlora astraeoides,,,
"moth_Mocis,I_PBA25161.jpg",I_PBA25161,Mocis,,,
"moth,I_PBA25162.jpg",I_PBA25162,moth,,,
"moth,I_PBA25163.jpg",I_PBA25163,moth,,,
"moth_Pyralidae,I_PBA25164.jpg",I_PBA25164,Pyralidae,,,
"moth,I_PBA25165.jpg",I_PBA25165,moth,,,
"moth_Crambidae,I_PBA25166.jpg",I_PBA25166,Crambidae,,,
"moth_Noctuidae,I_PBA25167.jpg",I_PBA25167,Noctuidae,,,
"Leptostales_crossii,I_PBA25168.jpg",I_PBA25168,Leptostales crossii,,,
"moth,I_PBA25169.jpg",I_PBA25169,moth,,,
"Rhabdatomis_laudamia,I_PBA25170.jpg",I_PBA25170,Rhabdatomis laudamia,,,
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25171.jpg",I_PBA25171,Hymenia perspectalis,Spotted Beet Webworm Moth,,
"moth,I_PBA25172.jpg",I_PBA25172,moth,,,
"Nematocampa_completa,I_PBA25173.jpg",I_PBA25173,Nematocampa completa,,,
"Nephodia_auxesia,I_PBA25174.jpg",I_PBA25174,Nephodia auxesia,,,
"Iridopsis_validaria,I_PBA25175.jpg",I_PBA25175,Iridopsis validaria,,,
"light,I_PBA25176.jpg",I_PBA25176,light,,,
"Oospila_venezuelata,I_PBA25177.jpg",I_PBA25177,Oospila venezuelata,,,
"moth_Geometridae,I_PBA25178.jpg",I_PBA25178,Geometridae,,,
"Idalus_perlineosa,I_PBA25179.jpg",I_PBA25179,Idalus perlineosa,,,
"moth_Pyralidae,I_PBA25180.jpg",I_PBA25180,Pyralidae,,,
"Glena_mopsaria,I_PBA25181.jpg",I_PBA25181,Glena mopsaria,,,
"Dycladia_emerita,I_PBA25182.jpg",I_PBA25182,Dycladia emerita,,,
"moth,I_PBA25183.jpg",I_PBA25183,moth,,,
"Metanema_bonadea,I_PBA25184.jpg",I_PBA25184,Metanema bonadea,,,
"moth,I_PBA25185.jpg",I_PBA25185,moth,,,
"Clemensia_leopardina,I_PBA25186.jpg",I_PBA25186,Clemensia leopardina,,,
"moth,I_PBA25187.jpg",I_PBA25187,moth,,,
"moth_Noctuidae,I_PBA25188.jpg",I_PBA25188,Noctuidae,,,
"moth,I_PBA25189.jpg",I_PBA25189,moth,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25190.jpg",I_PBA25190,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Crambidae,I_PBA25191.jpg",I_PBA25191,Crambidae,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25192.jpg",I_PBA25192,Iridopsis lurida--oberthuri--herse,,,
"Crambidia_myrlosea,I_PBA25193.jpg",I_PBA25193,Crambidia myrlosea,,,
"moth_Noctuidae,I_PBA25194.jpg",I_PBA25194,Noctuidae,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25195.jpg",I_PBA25195,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Crambidae,I_PBA25196.jpg",I_PBA25196,Crambidae,,,
"moth_Noctuidae,I_PBA25197.jpg",I_PBA25197,Noctuidae,,,
"moth_Crambidae,I_PBA25199.jpg",I_PBA25199,Crambidae,,,
"Lobocleta_tenellata,I_PBA25200.jpg",I_PBA25200,Lobocleta tenellata,,,
"moth,I_PBA25201.jpg",I_PBA25201,moth,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25202.jpg",I_PBA25202,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Cell_phone,I_PBA25203.jpg",I_PBA25203,Cell phone,,,
"light,I_PBA25204.jpg",I_PBA25204,light,,,
"moth_Notodontidae,I_PBA25205.jpg",I_PBA25205,Notodontidae,,,
"moth_new_species,I_PBA25206.jpg",I_PBA25206,new species,,,
"moth,I_PBA25207.jpg",I_PBA25207,moth,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25208.jpg",I_PBA25208,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Melese_monima,I_PBA25209.jpg",I_PBA25209,Melese monima,,,
"moth_Pyralidae,I_PBA25210.jpg",I_PBA25210,Pyralidae,,,
"Dycladia_emerita,I_PBA25211.jpg",I_PBA25211,Dycladia emerita,,,
"moth_Geometridae,I_PBA25212.jpg",I_PBA25212,Geometridae,,,
"Rhabdatomis_laudamia,I_PBA25213.jpg",I_PBA25213,Rhabdatomis laudamia,,,
"moth,I_PBA25214.jpg",I_PBA25214,moth,,,
"Clemensia_brunneomedia,I_PBA25215.jpg",I_PBA25215,Clemensia brunneomedia,,,
"moth,I_PBA25216.jpg",I_PBA25216,moth,,,
"moth_Geometridae,I_PBA25217.jpg",I_PBA25217,Geometridae,,,
"Meganola_sp_san_luis_b,I_PBA25218.jpg",I_PBA25218,Meganola sp_san_luis_b,,,
"moth_Pyralidae,I_PBA25219.jpg",I_PBA25219,Pyralidae,,,
"moth_Geometridae,I_PBA25220.jpg",I_PBA25220,Geometridae,,,
"Eubaphe_unicolor,I_PBA25221.jpg",I_PBA25221,Eubaphe unicolor,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25222.jpg",I_PBA25222,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth,I_PBA25223.jpg",I_PBA25223,moth,,,
"Rhabdatomis_laudamia,I_PBA25224.jpg",I_PBA25224,Rhabdatomis laudamia,,,
"moth,I_PBA25225.jpg",I_PBA25225,moth,,,
"Eubaphe_unicolor,I_PBA25226.jpg",I_PBA25226,Eubaphe unicolor,,,
"moth_Notodontidae,I_PBA25227.jpg",I_PBA25227,Notodontidae,,,
"moth,I_PBA25228.jpg",I_PBA25228,moth,,,
"Eupithecia_sp_group_san_luis,I_PBA25229.jpg",I_PBA25229,Eupithecia sp_group_san_luis,,,
"Melese_laodamia,I_PBA25230.jpg",I_PBA25230,Melese laodamia,,,
"moth_Crambidae,I_PBA25231.jpg",I_PBA25231,Crambidae,,,
"insect,I_PBA25232.jpg",I_PBA25232,insect,,,
"moth_Notodontidae,I_PBA25233.jpg",I_PBA25233,Notodontidae,,,
"moth_Geometridae,I_PBA25234.jpg",I_PBA25234,Geometridae,,,
"moth,I_PBA25235.jpg",I_PBA25235,moth,,,
"moth_new_species,I_PBA25236.jpg",I_PBA25236,new species,,,
"moth,I_PBA25237.jpg",I_PBA25237,moth,,,
"moth,I_PBA25238.jpg",I_PBA25238,moth,,,
"Leptostales_crossii,I_PBA25239.jpg",I_PBA25239,Leptostales crossii,,,
"moth_Geometridae,I_PBA25240.jpg",I_PBA25240,Geometridae,,,
"moth_Noctuidae,I_PBA25241.jpg",I_PBA25241,Noctuidae,,,
"Cell_phone,I_PBA25242.jpg",I_PBA25242,Cell phone,,,
"light,I_PBA25243.jpg",I_PBA25243,light,,,
"Nephodia_betala,I_PBA25244.jpg",I_PBA25244,Nephodia betala,,,
"moth,I_PBA25245.jpg",I_PBA25245,moth,,,
"moth_Sphingidae,I_PBA25246.jpg",I_PBA25246,Sphingidae,,,
"moth_Crambidae,I_PBA25247.jpg",I_PBA25247,Crambidae,,,
"Elaphria_hyposcota,I_PBA25248.jpg",I_PBA25248,Elaphria hyposcota,,,
"Iridopsis_validaria,I_PBA25249.jpg",I_PBA25249,Iridopsis validaria,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25250.jpg",I_PBA25250,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Thysanopyga_carfinia,I_PBA25251.jpg",I_PBA25251,Thysanopyga carfinia,,,
"Scena_potentia,I_PBA25252.jpg",I_PBA25252,Scena potentia,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25253.jpg",I_PBA25253,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Noctuidae,I_PBA25254.jpg",I_PBA25254,Noctuidae,,,
"Nephodia_auxesia,I_PBA25255.jpg",I_PBA25255,Nephodia auxesia,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25256.jpg",I_PBA25256,Iridopsis lurida--oberthuri--herse,,,
"moth_Pyralidae,I_PBA25257.jpg",I_PBA25257,Pyralidae,,,
"moth,I_PBA25258.jpg",I_PBA25258,moth,,,
"Aclytia_heber,I_PBA25259.jpg",I_PBA25259,Aclytia heber,,,
"Feltia_subterranea,_maybe,I_PBA25260.jpg",I_PBA25260,Feltia subterranea,maybe,,
"moth_Notodontidae,I_PBA25261.jpg",I_PBA25261,Notodontidae,,,
"moth,I_PBA25262.jpg",I_PBA25262,moth,,,
"moth,I_PBA25263.jpg",I_PBA25263,moth,,,
"Gonodes_liquida,I_PBA25264.jpg",I_PBA25264,Gonodes liquida,,,
"moth,I_PBA25265.jpg",I_PBA25265,moth,,,
"moth_Noctuidae,I_PBA25266.jpg",I_PBA25266,Noctuidae,,,
"Clemensia_leopardina,I_PBA25267.jpg",I_PBA25267,Clemensia leopardina,,,
"moth_Hemiceras,I_PBA25268.jpg",I_PBA25268,Hemiceras,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25269.jpg",I_PBA25269,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth,I_PBA25270.jpg",I_PBA25270,moth,,,
"moth,I_PBA25271.jpg",I_PBA25271,moth,,,
"Crambidia_myrlosea,I_PBA25272.jpg",I_PBA25272,Crambidia myrlosea,,,
"moth,I_PBA25273.jpg",I_PBA25273,moth,,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25274.jpg",I_PBA25274,Afrida ydatodes,Dyars Lichen Moth,,
"moth_Crambidae,I_PBA25275.jpg",I_PBA25275,Crambidae,,,
"moth_Geometridae,I_PBA25276.jpg",I_PBA25276,Geometridae,,,
"moth,I_PBA25277.jpg",I_PBA25277,moth,,,
"Cell_phone,I_PBA25278.jpg",I_PBA25278,Cell phone,,,
"light,I_PBA25279.jpg",I_PBA25279,light,,,
"moth_Geometridae,I_PBA25280.jpg",I_PBA25280,Geometridae,,,
"moth_Crambidae,I_PBA25281.jpg",I_PBA25281,Crambidae,,,
"Glena_mopsaria,I_PBA25282.jpg",I_PBA25282,Glena mopsaria,,,
"Hypercompe_nemophila,I_PBA25283.jpg",I_PBA25283,Hypercompe nemophila,,,
"moth_Notodontidae,I_PBA25284.jpg",I_PBA25284,Notodontidae,,,
"moth_Megalopygidae_-_Limacodidae,I_PBA25285.jpg",I_PBA25285,Megalopygidae - Limacodidae,,,
"moth_emerald,I_PBA25286.jpg",I_PBA25286,emerald,,,
"Leptostales_crossii,I_PBA25287.jpg",I_PBA25287,Leptostales crossii,,,
"Nephodia_auxesia,I_PBA25288.jpg",I_PBA25288,Nephodia auxesia,,,
"moth_Notodontidae,I_PBA25289.jpg",I_PBA25289,Notodontidae,,,
"Eois_sp_san_luis_s,I_PBA25290.jpg",I_PBA25290,Eois sp_san_luis_s,,,
"moth,I_PBA25291.jpg",I_PBA25291,moth,,,
"moth_Hemiceras,I_PBA25292.jpg",I_PBA25292,Hemiceras,,,
"Neotherina_imperilla,I_PBA25293.jpg",I_PBA25293,Neotherina imperilla,,,
"moth_Megalopygidae_-_Limacodidae,I_PBA25294.jpg",I_PBA25294,Megalopygidae - Limacodidae,,,
"moth,I_PBA25295.jpg",I_PBA25295,moth,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25296.jpg",I_PBA25296,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Gn_sp_san_luis_1011,I_PBA25297.jpg",I_PBA25297,Gn sp_san_luis_1011,,,
"Nemoria_vermiculata,I_PBA25298.jpg",I_PBA25298,Nemoria vermiculata,,,
"Clemensia_leopardina,I_PBA25299.jpg",I_PBA25299,Clemensia leopardina,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25300.jpg",I_PBA25300,Iridopsis lurida--oberthuri--herse,,,
"Oospila_venezuelata,I_PBA25301.jpg",I_PBA25301,Oospila venezuelata,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25302.jpg",I_PBA25302,Iridopsis lurida--oberthuri--herse,,,
"Leptostales_crossii,I_PBA25303.jpg",I_PBA25303,Leptostales crossii,,,
"Euphyia_sp_group_san_luis,I_PBA25304.jpg",I_PBA25304,Euphyia sp_group_san_luis,,,
"moth_Notodontidae,I_PBA25305.jpg",I_PBA25305,Notodontidae,,,
"moth_Noctuidae,I_PBA25306.jpg",I_PBA25306,Noctuidae,,,
"Oospila_venezuelata,I_PBA25307.jpg",I_PBA25307,Oospila venezuelata,,,
"moth_Noctuidae,I_PBA25308.jpg",I_PBA25308,Noctuidae,,,
