Filename,scientificName
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25068.jpg",Crambidia cephalica
"Lobocleta_tenellata,I_PBA25071.jpg",Lobocleta tenellata
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25073.jpg",Crambidia cephalica
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25074.jpg",Afrida ydatodes
"Meganola_bifiliferata,I_PBA25075.jpg",Meganola bifiliferata
"Clemensia_brunneomedia,I_PBA25076.jpg",Clemensia brunneomedia
"Clemensia_leopardina,I_PBA25077.jpg",Clemensia leopardina
"Patalene_aenetusaria,I_PBA25078.jpg",Patalene aenetusaria
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25079.jpg",Crambidia cephalica
"Eucereon_xanthoperas,I_PBA25080.jpg",Eucereon xanthoperas
"Rhabdatomis_laudamia,I_PBA25086.jpg",Rhabdatomis laudamia
"Pheia_elegans,I_PBA25087.jpg",Pheia elegans
"Nephodia_auxesia,I_PBA25088.jpg",Nephodia auxesia
"Rhabdatomis_laudamia,I_PBA25090.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25091.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25092.jpg",Rhabdatomis laudamia
"Idaea_subfervens,I_PBA25096.jpg",Idaea subfervens
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25097.jpg",Hymenia perspectalis
"Patalene_aenetusaria,I_PBA25098.jpg",Patalene aenetusaria
"Metanema_bonadea,I_PBA25107.jpg",Metanema bonadea
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25108.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25112.jpg",Rhabdatomis laudamia
"Nematocampa_completa,I_PBA25115.jpg",Nematocampa completa
"Elaphria_subobliqua,I_PBA25117.jpg",Elaphria subobliqua
"Nemoria_vermiculata,I_PBA25119.jpg",Nemoria vermiculata
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25122.jpg",Afrida ydatodes
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25123.jpg",Crambidia cephalica
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25129.jpg",Afrida ydatodes
"Patalene_aenetusaria,I_PBA25136.jpg",Patalene aenetusaria
"Nemoria_defectiva,I_PBA25140.jpg",Nemoria defectiva
"Lobocleta_tenellata,I_PBA25142.jpg",Lobocleta tenellata
"Bryolymnia_roma,I_PBA25145.jpg",Bryolymnia roma
"Hampsonodes_mastoides,I_PBA25148.jpg",Hampsonodes mastoides
"Trygodes_amphion,I_PBA25149.jpg",Trygodes amphion
"Microxydia_ruficomma,I_PBA25150.jpg",Microxydia ruficomma
"Hypercompe_nemophila,I_PBA25153.jpg",Hypercompe nemophila
"Synchlora_astraeoides,I_PBA25160.jpg",Synchlora astraeoides
"Leptostales_crossii,I_PBA25168.jpg",Leptostales crossii
"Rhabdatomis_laudamia,I_PBA25170.jpg",Rhabdatomis laudamia
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25171.jpg",Hymenia perspectalis
"Nematocampa_completa,I_PBA25173.jpg",Nematocampa completa
"Nephodia_auxesia,I_PBA25174.jpg",Nephodia auxesia
"Iridopsis_validaria,I_PBA25175.jpg",Iridopsis validaria
"Oospila_venezuelata,I_PBA25177.jpg",Oospila venezuelata
"Idalus_perlineosa,I_PBA25179.jpg",Idalus perlineosa
"Glena_mopsaria,I_PBA25181.jpg",Glena mopsaria
"Dycladia_emerita,I_PBA25182.jpg",Dycladia emerita
"Metanema_bonadea,I_PBA25184.jpg",Metanema bonadea
"Clemensia_leopardina,I_PBA25186.jpg",Clemensia leopardina
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25190.jpg",Crambidia cephalica
"Crambidia_myrlosea,I_PBA25193.jpg",Crambidia myrlosea
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25195.jpg",Crambidia cephalica
"Lobocleta_tenellata,I_PBA25200.jpg",Lobocleta tenellata
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25202.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25208.jpg",Crambidia cephalica
"Melese_monima,I_PBA25209.jpg",Melese monima
"Dycladia_emerita,I_PBA25211.jpg",Dycladia emerita
"Rhabdatomis_laudamia,I_PBA25213.jpg",Rhabdatomis laudamia
"Clemensia_brunneomedia,I_PBA25215.jpg",Clemensia brunneomedia
"Eubaphe_unicolor,I_PBA25221.jpg",Eubaphe unicolor
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25222.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25224.jpg",Rhabdatomis laudamia
"Eubaphe_unicolor,I_PBA25226.jpg",Eubaphe unicolor
"Melese_laodamia,I_PBA25230.jpg",Melese laodamia
"Leptostales_crossii,I_PBA25239.jpg",Leptostales crossii
"Nephodia_betala,I_PBA25244.jpg",Nephodia betala
"Elaphria_hyposcota,I_PBA25248.jpg",Elaphria hyposcota
"Iridopsis_validaria,I_PBA25249.jpg",Iridopsis validaria
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25250.jpg",Crambidia cephalica
"Thysanopyga_carfinia,I_PBA25251.jpg",Thysanopyga carfinia
"Scena_potentia,I_PBA25252.jpg",Scena potentia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25253.jpg",Crambidia cephalica
"Nephodia_auxesia,I_PBA25255.jpg",Nephodia auxesia
"Aclytia_heber,I_PBA25259.jpg",Aclytia heber
"Feltia_subterranea,_maybe,I_PBA25260.jpg",Feltia subterranea
"Gonodes_liquida,I_PBA25264.jpg",Gonodes liquida
"Clemensia_leopardina,I_PBA25267.jpg",Clemensia leopardina
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25269.jpg",Crambidia cephalica
"Crambidia_myrlosea,I_PBA25272.jpg",Crambidia myrlosea
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25274.jpg",Afrida ydatodes
"Glena_mopsaria,I_PBA25282.jpg",Glena mopsaria
"Hypercompe_nemophila,I_PBA25283.jpg",Hypercompe nemophila
"Leptostales_crossii,I_PBA25287.jpg",Leptostales crossii
"Nephodia_auxesia,I_PBA25288.jpg",Nephodia auxesia
"Neotherina_imperilla,I_PBA25293.jpg",Neotherina imperilla
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25296.jpg",Crambidia cephalica
"Nemoria_vermiculata,I_PBA25298.jpg",Nemoria vermiculata
"Clemensia_leopardina,I_PBA25299.jpg",Clemensia leopardina
"Oospila_venezuelata,I_PBA25301.jpg",Oospila venezuelata
"Leptostales_crossii,I_PBA25303.jpg",Leptostales crossii
"Oospila_venezuelata,I_PBA25307.jpg",Oospila venezuelata
"Nematocampa_completa,I_PBA25309.jpg",Nematocampa completa
"Lobocleta_tenellata,I_PBA25310.jpg",Lobocleta tenellata
"Lomographa_argentata,I_PBA25311.jpg",Lomographa argentata
"Lobocleta_tenellata,I_PBA25312.jpg",Lobocleta tenellata
"Nephodia_auxesia,I_PBA25320.jpg",Nephodia auxesia
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25324.jpg",Hymenia perspectalis
"Nemoria_defectiva,I_PBA25325.jpg",Nemoria defectiva
"Hampsonodes_mastoides,I_PBA25326.jpg",Hampsonodes mastoides
"Simopteryx_torquataria,I_PBA25327.jpg",Simopteryx torquataria
"Glena_mopsaria,I_PBA25328.jpg",Glena mopsaria
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25334.jpg",Lophosis labeculata
"Clemensia_leopardina,I_PBA25335.jpg",Clemensia leopardina
"Lobocleta_tenellata,I_PBA25336.jpg",Lobocleta tenellata
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25338.jpg",Lophosis labeculata
"Lobocleta_tenellata,I_PBA25341.jpg",Lobocleta tenellata
"Eucereon_xanthoperas,I_PBA25342.jpg",Eucereon xanthoperas
"Nematocampa_completa,I_PBA25345.jpg",Nematocampa completa
"Leptostales_crossii,I_PBA25346.jpg",Leptostales crossii
"Lobocleta_tenellata,I_PBA25347.jpg",Lobocleta tenellata
"Oospila_venezuelata,I_PBA25348.jpg",Oospila venezuelata
"Nephodia_auxesia,I_PBA25349.jpg",Nephodia auxesia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25355.jpg",Crambidia cephalica
"Hypercompe_nemophila,I_PBA25362.jpg",Hypercompe nemophila
"Clemensia_leopardina,I_PBA25364.jpg",Clemensia leopardina
"Dycladia_emerita,I_PBA25369.jpg",Dycladia emerita
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25373.jpg",Crambidia cephalica
"Hypercompe_nemophila,I_PBA25376.jpg",Hypercompe nemophila
"Aclytia_heber,I_PBA25377.jpg",Aclytia heber
"Synchlora_gerularia,I_PBA25389.jpg",Synchlora gerularia
"Trygodes_amphion,I_PBA25392.jpg",Trygodes amphion
"Rhabdatomis_laudamia,I_PBA25394.jpg",Rhabdatomis laudamia
"Synchlora_dependens,I_PBA25397.jpg",Synchlora dependens
"Glena_mopsaria,I_PBA25398.jpg",Glena mopsaria
"Lomographa_argentata,I_PBA25401.jpg",Lomographa argentata
"Rhabdatomis_laudamia,I_PBA25405.jpg",Rhabdatomis laudamia
"Patalene_aenetusaria,I_PBA25419.jpg",Patalene aenetusaria
"Rhabdatomis_laudamia,I_PBA25421.jpg",Rhabdatomis laudamia
"Clemensia_brunneomedia,I_PBA25422.jpg",Clemensia brunneomedia
"Rhabdatomis_laudamia,I_PBA25424.jpg",Rhabdatomis laudamia
"Nephodia_auxesia,I_PBA25426.jpg",Nephodia auxesia
"Leptostales_crossii,I_PBA25427.jpg",Leptostales crossii
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25428.jpg",Crambidia cephalica
"Brachurapteryx_tesserata,I_PBA25429.jpg",Brachurapteryx tesserata
"Patalene_aenetusaria,I_PBA25432.jpg",Patalene aenetusaria
"Melese_laodamia,I_PBA25434.jpg",Melese laodamia
"Nephodia_auxesia,I_PBA25436.jpg",Nephodia auxesia
"Trygodes_amphion,I_PBA25438.jpg",Trygodes amphion
"Lobocleta_tenellata,I_PBA25439.jpg",Lobocleta tenellata
"Simena_luctifera,I_PBA25441.jpg",Simena luctifera
"Iridopsis_validaria,I_PBA25442.jpg",Iridopsis validaria
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25443.jpg",Hymenia perspectalis
"Micrathetis_dasarada,I_PBA25445.jpg",Micrathetis dasarada
"Epimecis_semicompleta,I_PBA25447.jpg",Epimecis semicompleta
"Nematocampa_completa,I_PBA25448.jpg",Nematocampa completa
"Nematocampa_completa,I_PBA25450.jpg",Nematocampa completa
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25451.jpg",Afrida ydatodes
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25454.jpg",Hymenia perspectalis
"Nephodia_auxesia,I_PBA25456.jpg",Nephodia auxesia
"Antiblemma_pira,I_PBA25458.jpg",Antiblemma pira
"Nephodia_auxesia,I_PBA25460.jpg",Nephodia auxesia
"Nemoria_vermiculata,I_PBA25463.jpg",Nemoria vermiculata
"Metanema_bonadea,I_PBA25467.jpg",Metanema bonadea
"Nematocampa_completa,I_PBA25468.jpg",Nematocampa completa
"Elaphria_subobliqua,I_PBA25471.jpg",Elaphria subobliqua
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25473.jpg",Hymenia perspectalis
"Nematocampa_completa,I_PBA25474.jpg",Nematocampa completa
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25475.jpg",Afrida ydatodes
"Nephodia_auxesia,I_PBA25477.jpg",Nephodia auxesia
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25478.jpg",Lophosis labeculata
"Glena_mopsaria,I_PBA25481.jpg",Glena mopsaria
"Nematocampa_completa,I_PBA25482.jpg",Nematocampa completa
"Metanema_bonadea,I_PBA25483.jpg",Metanema bonadea
"Lobocleta_tenellata,I_PBA25484.jpg",Lobocleta tenellata
"Epimecis_semicompleta,I_PBA25485.jpg",Epimecis semicompleta
"Nemoria_defectiva,I_PBA25486.jpg",Nemoria defectiva
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25488.jpg",Hymenia perspectalis
"Trygodes_amphion,I_PBA25489.jpg",Trygodes amphion
"Anisoperas_atropunctaria,I_PBA25491.jpg",Anisoperas atropunctaria
"Nephodia_betala,I_PBA25498.jpg",Nephodia betala
"Clemensia_leopardina,I_PBA25499.jpg",Clemensia leopardina
"Lomographa_argentata,I_PBA25502.jpg",Lomographa argentata
"Rhabdatomis_laudamia,I_PBA25506.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25507.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25511.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25512.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25514.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25522.jpg",Crambidia cephalica
"Hypercompe_nemophila,I_PBA25525.jpg",Hypercompe nemophila
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25527.jpg",Crambidia cephalica
"Dycladia_emerita,I_PBA25528.jpg",Dycladia emerita
"Leptostales_crossii,I_PBA25537.jpg",Leptostales crossii
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25539.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25546.jpg",Rhabdatomis laudamia
"Lomographa_argentata,I_PBA25548.jpg",Lomographa argentata
"Nephodia_auxesia,I_PBA25557.jpg",Nephodia auxesia
"Lomographa_argentata,I_PBA25560.jpg",Lomographa argentata
"Nematocampa_completa,I_PBA25567.jpg",Nematocampa completa
"Dyspteris_tenuivitta,I_PBA25568.jpg",Dyspteris tenuivitta
"Brachurapteryx_tesserata,I_PBA25570.jpg",Brachurapteryx tesserata
"Rhabdatomis_laudamia,I_PBA25571.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,I_PBA25573.jpg",Crambidia cephalica
"Glena_mopsaria,I_PBA25575.jpg",Glena mopsaria
"Neotherina_imperilla,I_PBA25576.jpg",Neotherina imperilla
"Anycles_adusta,I_PBA25578.jpg",Anycles adusta
"Napata_lelex,I_PBA25579.jpg",Napata lelex
"Rhabdatomis_laudamia,I_PBA25582.jpg",Rhabdatomis laudamia
"Eucereon_xanthoperas,I_PBA25584.jpg",Eucereon xanthoperas
"Opisthoxia_miletia,I_PBA25585.jpg",Opisthoxia miletia
"Lomographa_argentata,I_PBA25590.jpg",Lomographa argentata
"Synchlora_dependens,I_PBA25591.jpg",Synchlora dependens
"Nephodia_auxesia,I_PBA25592.jpg",Nephodia auxesia
"Synchlora_dependens,I_PBA25593.jpg",Synchlora dependens
"Nematocampa_completa,I_PBA25594.jpg",Nematocampa completa
"Thysanopyga_carfinia,I_PBA25596.jpg",Thysanopyga carfinia
"Oospila_venezuelata,I_PBA25597.jpg",Oospila venezuelata
"Nematocampa_completa,I_PBA25600.jpg",Nematocampa completa
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25606.jpg",Lophosis labeculata
"Ametris_nitocris,I_PBA25607.jpg",Ametris nitocris
"Idaea_subfervens,I_PBA25609.jpg",Idaea subfervens
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25622.jpg",Afrida ydatodes
"Glena_mopsaria,I_PBA25627.jpg",Glena mopsaria
"Elaphria_hyposcota,I_PBA25628.jpg",Elaphria hyposcota
"Melese_monima,I_PBA25633.jpg",Melese monima
"Lobocleta_tenellata,I_PBA25638.jpg",Lobocleta tenellata
"Lobocleta_tenellata,I_PBA25640.jpg",Lobocleta tenellata
"Nematocampa_completa,I_PBA25641.jpg",Nematocampa completa
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25645.jpg",Crambidia cephalica
"Patalene_aenetusaria,I_PBA25648.jpg",Patalene aenetusaria
"Nematocampa_completa,I_PBA25652.jpg",Nematocampa completa
"Macrocneme_iole,I_PBA25654.jpg",Macrocneme iole
"Lobocleta_tenellata,I_PBA25655.jpg",Lobocleta tenellata
"Metanema_bonadea,I_PBA25657.jpg",Metanema bonadea
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25658.jpg",Crambidia cephalica
"Metanema_bonadea,I_PBA25659.jpg",Metanema bonadea
"Lomographa_argentata,I_PBA25662.jpg",Lomographa argentata
"Nematocampa_completa,I_PBA25663.jpg",Nematocampa completa
"Nematocampa_completa,I_PBA25666.jpg",Nematocampa completa
"Rhabdatomis_laudamia,I_PBA25669.jpg",Rhabdatomis laudamia
"Melese_monima,I_PBA25670.jpg",Melese monima
"Oospila_venezuelata,I_PBA25671.jpg",Oospila venezuelata
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25673.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25675.jpg",Crambidia cephalica
"Lobocleta_tenellata,I_PBA25676.jpg",Lobocleta tenellata
"Lobocleta_tenellata,I_PBA25679.jpg",Lobocleta tenellata
"Trygodes_amphion,I_PBA25680.jpg",Trygodes amphion
"Nematocampa_completa,I_PBA25684.jpg",Nematocampa completa
"Lomographa_argentata,I_PBA25688.jpg",Lomographa argentata
"Nephodia_auxesia,I_PBA25689.jpg",Nephodia auxesia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25692.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25696.jpg",Rhabdatomis laudamia
"Rhabdatomis_laudamia,I_PBA25704.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25705.jpg",Crambidia cephalica
"Macrocneme_iole,I_PBA25706.jpg",Macrocneme iole
"Lomographa_argentata,I_PBA25708.jpg",Lomographa argentata
"Lichnoptera_illudens,I_PBA25716.jpg",Lichnoptera illudens
"Leptostales_crossii,I_PBA25719.jpg",Leptostales crossii
"Nematocampa_completa,I_PBA25724.jpg",Nematocampa completa
"Synchlora_dependens,I_PBA25727.jpg",Synchlora dependens
"Leptostales_crossii,I_PBA25728.jpg",Leptostales crossii
"Leptostales_crossii,I_PBA25731.jpg",Leptostales crossii
"Epimecis_semicompleta,I_PBA25737.jpg",Epimecis semicompleta
"Nematocampa_completa,I_PBA25739.jpg",Nematocampa completa
"Nematocampa_completa,I_PBA25741.jpg",Nematocampa completa
"Ametris_nitocris,I_PBA25746.jpg",Ametris nitocris
"Nephodia_auxesia,I_PBA25749.jpg",Nephodia auxesia
"Oospila_venezuelata,I_PBA25752.jpg",Oospila venezuelata
"Oospila_venezuelata,I_PBA25756.jpg",Oospila venezuelata
"Nepheloleuca_illiturata,I_PBA25759.jpg",Nepheloleuca illiturata
"Lomographa_argentata,I_PBA25765.jpg",Lomographa argentata
"Nemoria_pescadora,I_PBA25766.jpg",Nemoria pescadora
"Micrathetis_dasarada,I_PBA25769.jpg",Micrathetis dasarada
"Nemoria_vermiculata,I_PBA25772.jpg",Nemoria vermiculata
"Lomographa_argentata,I_PBA25774.jpg",Lomographa argentata
"Leptostales_crossii,I_PBA25779.jpg",Leptostales crossii
"Clemensia_cincinnata,I_PBA25783.jpg",Clemensia cincinnata
"Clemensia_leopardina,I_PBA25784.jpg",Clemensia leopardina
"Semaeopus_viridiplaga,I_PBA25785.jpg",Semaeopus viridiplaga
"Clemensia_brunneomedia,I_PBA25786.jpg",Clemensia brunneomedia
"Nematocampa_completa,I_PBA25795.jpg",Nematocampa completa
"Rhabdatomis_laudamia,I_PBA25799.jpg",Rhabdatomis laudamia
"Clemensia_leopardina,I_PBA25800.jpg",Clemensia leopardina
"Trygodes_amphion,I_PBA25801.jpg",Trygodes amphion
"Oxydia_trychiata,I_PBA25807.jpg",Oxydia trychiata
"Nephodia_auxesia,I_PBA25808.jpg",Nephodia auxesia
"Nematocampa_completa,I_PBA25809.jpg",Nematocampa completa
"Nephodia_auxesia,I_PBA25811.jpg",Nephodia auxesia
"Trygodes_amphion,I_PBA25813.jpg",Trygodes amphion
"Nematocampa_arenosa,I_PBA25817.jpg",Nematocampa arenosa
"Lobocleta_tenellata,I_PBA25819.jpg",Lobocleta tenellata
"Glena_mopsaria,I_PBA25820.jpg",Glena mopsaria
"Lobocleta_tenellata,I_PBA25823.jpg",Lobocleta tenellata
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25824.jpg",Crambidia cephalica
"Nemoria_vermiculata,I_PBA25829.jpg",Nemoria vermiculata
"Nemoria_vermiculata,I_PBA25832.jpg",Nemoria vermiculata
"Nephodia_auxesia,I_PBA25836.jpg",Nephodia auxesia
"Nemoria_defectiva,I_PBA25837.jpg",Nemoria defectiva
"Eucereon_tigrata,I_PBA25845.jpg",Eucereon tigrata
"Anisoperas_atropunctaria,I_PBA25866.jpg",Anisoperas atropunctaria
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25872.jpg",Afrida ydatodes
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25875.jpg",Hymenia perspectalis
"Lophocampa_citrina,I_PBA25879.jpg",Lophocampa citrina
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25880.jpg",Crambidia cephalica
"Nematocampa_completa,I_PBA25887.jpg",Nematocampa completa
"Nematocampa_completa,I_PBA25891.jpg",Nematocampa completa
"Nemoria_defectiva,I_PBA25893.jpg",Nemoria defectiva
"Nematocampa_completa,I_PBA25895.jpg",Nematocampa completa
"Melese_monima,I_PBA25897.jpg",Melese monima
"Micrathetis_dasarada,I_PBA25898.jpg",Micrathetis dasarada
"Oospila_venezuelata,I_PBA25905.jpg",Oospila venezuelata
"Thysanopyga_carfinia,I_PBA25907.jpg",Thysanopyga carfinia
"Epimecis_semicompleta,I_PBA25909.jpg",Epimecis semicompleta
"Nemoria_vermiculata,I_PBA25911.jpg",Nemoria vermiculata
"Opisthoxia_miletia,I_PBA25912.jpg",Opisthoxia miletia
"Oospila_venezuelata,I_PBA25916.jpg",Oospila venezuelata
"Rhabdatomis_laudamia,I_PBA25920.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25923.jpg",Crambidia cephalica
"Macrocneme_iole,I_PBA25924.jpg",Macrocneme iole
"Macrocneme_iole,I_PBA25926.jpg",Macrocneme iole
"Crambidia_myrlosea,I_PBA25927.jpg",Crambidia myrlosea
"Rhabdatomis_laudamia,I_PBA25929.jpg",Rhabdatomis laudamia
"Elaphria_hyposcota,I_PBA25932.jpg",Elaphria hyposcota
"Elaphria_hyposcota,I_PBA25934.jpg",Elaphria hyposcota
"Glena_mopsaria,I_PBA25935.jpg",Glena mopsaria
"Amastus_aconia,I_PBA25941.jpg",Amastus aconia
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25942.jpg",Hymenia perspectalis
"Crambidia_myrlosea,I_PBA25946.jpg",Crambidia myrlosea
"Idalus_perlineosa,I_PBA25947.jpg",Idalus perlineosa
"Nephodia_auxesia,I_PBA25954.jpg",Nephodia auxesia
"Opisthoxia_miletia,I_PBA25955.jpg",Opisthoxia miletia
"Hypercompe_nemophila,I_PBA25957.jpg",Hypercompe nemophila
"Macrocneme_iole,I_PBA25958.jpg",Macrocneme iole
"Nematocampa_completa,I_PBA25960.jpg",Nematocampa completa
"Rhabdatomis_laudamia,I_PBA25962.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25963.jpg",Crambidia cephalica
"Antiblemma_concinnula,I_PBA25964.jpg",Antiblemma concinnula
"Clemensia_leopardina,I_PBA25965.jpg",Clemensia leopardina
"Lomographa_argentata,I_PBA25966.jpg",Lomographa argentata
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25971.jpg",Lophosis labeculata
"Clemensia_leopardina,I_PBA25979.jpg",Clemensia leopardina
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25986.jpg",Hymenia perspectalis
"Simopteryx_torquataria,I_PBA25990.jpg",Simopteryx torquataria
"Anisoperas_atropunctaria,I_PBA25991.jpg",Anisoperas atropunctaria
"Nephodia_auxesia,I_PBA25992.jpg",Nephodia auxesia
"Oospila_venezuelata,I_PBA25994.jpg",Oospila venezuelata
"Nematocampa_completa,I_PBA25996.jpg",Nematocampa completa
"Micrathetis_dasarada,I_PBA25997.jpg",Micrathetis dasarada
"Clemensia_leopardina,I_PBA25998.jpg",Clemensia leopardina
"Nemoria_defectiva,I_PBA26002.jpg",Nemoria defectiva
"Lobocleta_tenellata,I_PBA26003.jpg",Lobocleta tenellata
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA26006.jpg",Afrida ydatodes
"Ametris_nitocris,I_PBA26009.jpg",Ametris nitocris
"Micrathetis_dasarada,I_PBA26010.jpg",Micrathetis dasarada
"Nematocampa_arenosa,I_PBA26011.jpg",Nematocampa arenosa
"Leptostales_crossii,I_PBA26012.jpg",Leptostales crossii
