occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"moth Crambidae",,,"NONE","100",,,,,,,,,,,,,
,"Nephodia auxesia","Nephodia auxesia Druce, 1892","1981483","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nephodia","Nephodia auxesia","Nephodia auxesia","Druce, 1892","1981483",
,"moth Hemiceras",,,"NONE","100",,,,,,,,,,,,,
,"Nemoria defectiva","Nemoria defectiva (Prout, 1932)","1981259","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria","Nemoria defectiva","Nemoria defectiva","(Prout, 1932) ","1981259",
,"Nematocampa arenosa","Nematocampa arenosa Butler, 1881","1991014","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nematocampa","Nematocampa arenosa","Nematocampa arenosa","Butler, 1881","1991014",
,"moth Lascoria",,,"NONE","100",,,,,,,,,,,,,
,"moth Tortricidae",,,"NONE","100",,,,,,,,,,,,,
,"Patalene aenetusaria","Patalene aenetusaria (Walker, 1860)","9243264","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Patalene","Patalene aenetusaria","Patalene aenetusaria","(Walker, 1860) ","9243264",
,"Clemensia cincinnata","Clemensia cincinnata Schaus, 1911","5114878","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Clemensia","Clemensia cincinnata","Clemensia cincinnata","Schaus, 1911","5114878",
,"Brachurapteryx tesserata","Brachurapteryx tesserata (Guenée)","1955815","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Brachurapteryx","Brachurapteryx tesserata","Brachurapteryx tesserata","(Guenée) ","1955815",
,"Crambidia cephalica","Crambidia cephalica (Grote & Robinson, 1870)","1805537","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Crambidia","Crambidia cephalica","Crambidia cephalica","(Grote & Robinson, 1870) ","1805537",
,"moth Geometridae",,,"NONE","100",,,,,,,,,,,,,
,"moth Noctuidae",,,"NONE","100",,,,,,,,,,,,,
,"Glena mopsaria","Glena mopsaria (Schaus, 1913)","1965683","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Glena","Glena mopsaria","Glena mopsaria","(Schaus, 1913) ","1965683",
,"Iridopsis validaria","Iridopsis validaria Guenée, 1858","5148593","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Iridopsis","Iridopsis validaria","Iridopsis validaria","Guenée, 1858","5148593",
,"Micrathetis dasarada","Micrathetis dasarada Druce, 1898","1764686","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Micrathetis","Micrathetis dasarada","Micrathetis dasarada","Druce, 1898","1764686",
,"Macaria sp_san_luis_a","Arthropoda","54","HIGHERRANK","92","ACCEPTED","PHYLUM","Animalia","Arthropoda",,,,,,"Arthropoda",,"54",
,"Idaea sp_group_san_luis","Idaea Treitschke, 1825","1973909","HIGHERRANK","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea",,"Idaea","Treitschke, 1825","1973909",
,"Cell phone",,,"NONE","100",,,,,,,,,,,,,
,"light",,,"NONE","100",,,,,,,,,,,,,
,"moth Megalopygidae - Limacodidae",,,"NONE","100",,,,,,,,,,,,,
,"moth plume",,,"NONE","100",,,,,,,,,,,,,
,"Lophosis labeculata","Lophosis labeculata (Hulst, 1887)","9237031","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lophosis","Lophosis labeculata","Lophosis labeculata","(Hulst, 1887) ","9237031",
,"Trygodes amphion","Trygodes amphion Schaus, 1912","1976364","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Trygodes","Trygodes amphion","Trygodes amphion","Schaus, 1912","1976364",
,"moth Pyralidae",,,"NONE","100",,,,,,,,,,,,,
,"moth emerald",,,"NONE","100",,,,,,,,,,,,,
,"Afrida ydatodes","Afrida ydatodes Dyar, 1913","8924506","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Afrida","Afrida ydatodes","Afrida ydatodes","Dyar, 1913","8924506",
,"Meganola bifiliferata","Meganola bifiliferata (Walker, 1863)","8126835","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Nola","Nola bifiliferata","Meganola bifiliferata","(Walker, 1863) ","8126835","11708196"
,"Clemensia brunneomedia","Clemensia brunneomedia Schaus, 1905","5114865","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Clemensia","Clemensia brunneomedia","Clemensia brunneomedia","Schaus, 1905","5114865",
,"Eucereon xanthoperas","Eucereon xanthoperas Hampson, 1898","1810308","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon xanthoperas","Eucereon xanthoperas","Hampson, 1898","1810308",
,"Eucereon rosinum","Eucereon rosina Walker, 1854","1810278","FUZZY","95","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon rosina","Eucereon rosina","Walker, 1854","1810278",
,"Pheia elegans","Pheia elegans Druce, 1884","1811506","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pheia","Pheia elegans","Pheia elegans","Druce, 1884","1811506",
,"Idaea subfervens","Idaea subfervens (Prout, 1920)","5147031","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea","Idaea subfervens","Idaea subfervens","(Prout, 1920) ","5147031",
,"Hymenia perspectalis","Hymenia perspectalis (Hübner, 1796)","1886374","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hymenia","Hymenia perspectalis","Hymenia perspectalis","(Hübner, 1796) ","1886374",
,"insect",,,"NONE","100",,,,,,,,,,,,,
,"Gn sp_san_luis_1013",,,"NONE","100",,,,,,,,,,,,,
,"Metanema bonadea","Metanema bonadea Druce, 1892","5149624","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Metanema","Metanema bonadea","Metanema bonadea","Druce, 1892","5149624",
,"moth Palthis",,,"NONE","100",,,,,,,,,,,,,
,"Nematocampa completa","Nematocampa completa Warren, 1904","1991016","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nematocampa","Nematocampa completa","Nematocampa completa","Warren, 1904","1991016",
,"Elaphria subobliqua","Elaphria subobliqua Walker, 1858","1780407","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elaphria","Elaphria subobliqua","Elaphria subobliqua","Walker, 1858","1780407",
,"Nemoria vermiculata","Nemoria vermiculata (Dognin, 1914)","1981168","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria","Nemoria vermiculata","Nemoria vermiculata","(Dognin, 1914) ","1981168",
,"Epimecis matronaria--nasica","Epimecis Hübner","1985578","HIGHERRANK","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Epimecis",,"Epimecis","Hübner","1985578",
,"Macaria approximaria--gambarina--ostia","Arthropoda","54","HIGHERRANK","92","ACCEPTED","PHYLUM","Animalia","Arthropoda",,,,,,"Arthropoda",,"54",
,"Synnomos sp_san_luis_a","Synnomos Guenée","1963630","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Synnomos",,"Synnomos","Guenée","1963630",
,"moth Arctiidae",,,"NONE","100",,,,,,,,,,,,,
,"Euphyia sp_group_san_luis","Euphyia Hübner","1965123","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Euphyia",,"Euphyia","Hübner","1965123",
,"Bryolymnia roma","Bryolymnia roma Druce, 1894","1764152","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Bryolymnia","Bryolymnia roma","Bryolymnia roma","Druce, 1894","1764152",
,"Hampsonodes mastoides","Hampsonodes mastoides Hampson, 1910","1791331","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Hampsonodes","Hampsonodes mastoides","Hampsonodes mastoides","Hampson, 1910","1791331",
,"Microxydia ruficomma","Microxydia ruficomma Prout, 1910","1954247","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Microxydia","Microxydia ruficomma","Microxydia ruficomma","Prout, 1910","1954247",
,"Hypercompe nemophila","Hypercompe nemophila Herrich-Schäffer, 1853","1810980","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypercompe","Hypercompe nemophila","Hypercompe nemophila","Herrich-Schäffer, 1853","1810980",
,"Synchlora astraeoides","Synchlora astraeoides (Warren, 1901)","1962086","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Synchlora","Synchlora astraeoides","Synchlora astraeoides","(Warren, 1901) ","1962086",
,"moth Mocis",,,"NONE","100",,,,,,,,,,,,,
,"Oospila venezuelata","Oospila venezuelata (Walker, 1861)","1973665","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Oospila","Oospila venezuelata","Oospila venezuelata","(Walker, 1861) ","1973665",
,"Idalus perlineosa","Idalus perlineosa Rothschild, 1917","1814683","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Idalus","Idalus perlineosa","Idalus perlineosa","Rothschild, 1917","1814683",
,"Dycladia emerita","Dycladia emerita","9111683","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dycladia","Dycladia emerita","Dycladia emerita",,"9111683",
,"moth new species",,,"NONE","100",,,,,,,,,,,,,
,"Melese monima","Melese monima Schaus, 1910","1817583","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Melese","Melese monima","Melese monima","Schaus, 1910","1817583",
,"Eubaphe unicolor","Eubaphe unicolor (Robinson, 1869)","1985952","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eubaphe","Eubaphe unicolor","Eubaphe unicolor","(Robinson, 1869) ","1985952",
,"Melese laodamia","Melese laodamia Druce, 1884","1817589","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Melese","Melese laodamia","Melese laodamia","Druce, 1884","1817589",
,"Nephodia betala","Nephodia betala (Druce, 1892)","1981662","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nephodia","Nephodia betala","Nephodia betala","(Druce, 1892) ","1981662",
,"moth Sphingidae",,,"NONE","100",,,,,,,,,,,,,
,"Elaphria hyposcota","Elaphria hyposcota Hampson, 1909","1780310","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Elaphria","Elaphria hypophaea","Elaphria hyposcota","Hampson, 1909","1780310","1780350"
,"Thysanopyga carfinia","Thysanopyga carfinia (Druce, 1893)","1958378","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Thysanopyga","Thysanopyga carfinia","Thysanopyga carfinia","(Druce, 1893) ","1958378",
,"Scena potentia","Scena potentia Druce, 1894","1804522","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Scena","Scena potentia","Scena potentia","Druce, 1894","1804522",
,"Aclytia heber","Aclytia heber Cramer, 1782","5115046","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Aclytia","Aclytia heber","Aclytia heber","Cramer, 1782","5115046",
,"Feltia subterranea","Feltia subterranea Fabricius, 1794","7400814","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feltia","Feltia subterranea","Feltia subterranea","Fabricius, 1794","7400814",
,"Gonodes liquida","Gonodes liquida Möschler, 1886","1774929","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Gonodes","Gonodes liquida","Gonodes liquida","Möschler, 1886","1774929",
,"Eois sp_san_luis_s","Eois Hübner, 1818","1989610","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eois",,"Eois","Hübner, 1818","1989610",
,"Neotherina imperilla","Neotherina imperilla (Dognin, 1911)","1991354","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Neotherina","Neotherina imperilla","Neotherina imperilla","(Dognin, 1911) ","1991354",
,"Gn sp_san_luis_1011",,,"NONE","100",,,,,,,,,,,,,
,"Lomographa argentata","Lomographa argentata (Schaus, 1911)","1986078","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lomographa","Lomographa argentata","Lomographa argentata","(Schaus, 1911) ","1986078",
,"Gn sp_san_luis_1005",,,"NONE","100",,,,,,,,,,,,,
,"Simopteryx torquataria","Simopteryx torquataria (Walker, 1860)","1976895","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Simopteryx","Simopteryx torquataria","Simopteryx torquataria","(Walker, 1860) ","1976895",
,"moth Saturniidae",,,"NONE","100",,,,,,,,,,,,,
,"Synchlora gerularia","Synchlora gerularia (Hübner)","1962118","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Synchlora","Synchlora gerularia","Synchlora gerularia","(Hübner) ","1962118",
,"Synchlora dependens","Synchlora dependens (Warren, 1904)","1962082","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Synchlora","Synchlora dependens","Synchlora dependens","(Warren, 1904) ","1962082",
,"Eois sp_san_luis_b","Eois Hübner, 1818","1989610","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eois",,"Eois","Hübner, 1818","1989610",
,"Clemensia sp_san_luis_a",,,"NONE","100",,,,,,,,,,,,,
,"Simena luctifera","Simena luctifera Walker, 1856","1965887","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Simena","Simena luctifera","Simena luctifera","Walker, 1856","1965887",
,"Epimecis semicompleta","Epimecis semicompleta (Warren, 1905)","5149243","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Epimecis","Epimecis semicompleta","Epimecis semicompleta","(Warren, 1905) ","5149243",
,"Antiblemma pira","Antiblemma pira","1794667","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Antiblemma","Antiblemma pira","Antiblemma pira",,"1794667",
,"Gn sp_san_luis_1003",,,"NONE","100",,,,,,,,,,,,,
,"Anisoperas atropunctaria","Anisoperas atropunctaria (Walker, 1862)","1986752","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Anisoperas","Anisoperas atropunctaria","Anisoperas atropunctaria","(Walker, 1862) ","1986752",
,"Dyspteris tenuivitta","Dyspteris tenuivitta Dognin, 1908","1961352","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Dyspteris","Dyspteris tenuivitta","Dyspteris tenuivitta","Dognin, 1908","1961352",
,"Macaria abydata--nundinata","Arthropoda","54","HIGHERRANK","92","ACCEPTED","PHYLUM","Animalia","Arthropoda",,,,,,"Arthropoda",,"54",
,"Anycles adusta","Anycles adusta Felder, 1869","1807283","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Anycles","Anycles adusta","Anycles adusta","Felder, 1869","1807283",
,"Napata lelex","Napata lelex","10277831","EXACT","97","DOUBTFUL","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Uranophora","Napata lelex","Napata lelex",,"10277831",
,"Opisthoxia miletia","Opisthoxia miletia (Druce, 1892)","1960255","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Opisthoxia","Opisthoxia miletia","Opisthoxia miletia","(Druce, 1892) ","1960255",
,"moth Pyraidae",,,"NONE","100",,,,,,,,,,,,,
,"moth merald",,,"NONE","100",,,,,,,,,,,,,
,"Ametris nitocris","Ametris nitocris (Cramer)","1959637","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Ametris","Ametris nitocris","Ametris nitocris","(Cramer) ","1959637",
,"Hagnagora sp_san_luis","Hagnagora Druce, 1885","1978245","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hagnagora",,"Hagnagora","Druce, 1885","1978245",
,"Periclina sp_san_luis_a","Periclina Guenée","1968537","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Periclina",,"Periclina","Guenée","1968537",
,"Nematocampa c","Nematocampa Guenée","1991004","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nematocampa",,"Nematocampa","Guenée","1991004",
,"moth Herbita",,,"NONE","100",,,,,,,,,,,,,
,"Macrocneme iole","Macrocneme iole Druce, 1884","1805189","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Macrocneme","Macrocneme chrysitis","Macrocneme iole","Druce, 1884","1805189","1805197"
,"Isogona continua--natatrix","Isogona Guenée, 1852","1790931","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Isogona",,"Isogona","Guenée, 1852","1790931",
,"Lichnoptera illudens","Lichnoptera illudens Walker, 1856","1800100","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lichnoptera","Lichnoptera illudens","Lichnoptera illudens","Walker, 1856","1800100",
,"moth Noctuidae delta",,,"NONE","100",,,,,,,,,,,,,
,"Nepheloleuca illiturata","Nepheloleuca illiturata (Guenée, 1858)","1989583","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nepheloleuca","Nepheloleuca politia","Nepheloleuca illiturata","(Guenée, 1858) ","1989583","11462514"
,"Nemoria pescadora","Nemoria pescadora (Beutelspacher-Baigts, 1984)","1981308","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria","Nemoria pescadora","Nemoria pescadora","(Beutelspacher-Baigts, 1984) ","1981308",
,"Scopula sp_group_san_luis",,,"NONE","100",,,,,,,,,,,,,
,"Semaeopus viridiplaga","Semaeopus viridiplaga (Walker, 1861)","1956136","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Semaeopus","Semaeopus viridiplaga","Semaeopus viridiplaga","(Walker, 1861) ","1956136",
,"Nola sp_san_luis_a","Nola Leach, 1815","1801758","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Nola",,"Nola","Leach, 1815","1801758",
,"Oxydia trychiata","Oxydia trychiata Guenée","1976746","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Oxydia","Oxydia trychiata","Oxydia trychiata","Guenée","1976746",
,"moth Melese",,,"NONE","100",,,,,,,,,,,,,
,"Eucereon tigrata","Eucereon tigrata Herrich-Schäffer, 1855","1810172","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon tigrata","Eucereon tigrata","Herrich-Schäffer, 1855","1810172",
,"Lophocampa citrina","Lophocampa citrina Sepp, 1852","1817763","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa citrina","Lophocampa citrina","Sepp, 1852","1817763",
,"moth Hydata",,,"NONE","100",,,,,,,,,,,,,
,"Amastus aconia","Amastus aconia Herrich-Schäffer, 1853","5117348","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amastus","Amastus aconia","Amastus aconia","Herrich-Schäffer, 1853","5117348",
,"Antiblemma concinnula","Antiblemma concinnula Walker, 1865","1794642","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Antiblemma","Antiblemma concinnula","Antiblemma concinnula","Walker, 1865","1794642",
,"Spragueia lepus","Spragueia Grote, 1875","1758765","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spragueia",,"Spragueia","Grote, 1875","1758765",
,"Hyponerita tipolis","Hyponerita tipolis Druce, 1896","1808620","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hyponerita","Hyponerita tipolis","Hyponerita tipolis","Druce, 1896","1808620",
,"moth todo",,,"NONE","100",,,,,,,,,,,,,
,"Episcepsis thetis","Episcepsis thetis","12186497","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Episcepsis","Episcepsis thetis","Episcepsis thetis",,"12186497",
,"Hypercompe icasia","Hypercompe icasia Cramer, 1777","1811121","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypercompe","Hypercompe icasia","Hypercompe icasia","Cramer, 1777","1811121",
,"Hampsonodes melagona","Hampsonodes melagona Hampson, 1910","1791319","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Hampsonodes","Hampsonodes melagona","Hampsonodes melagona","Hampson, 1910","1791319",
,"moth Pyalidae",,,"NONE","100",,,,,,,,,,,,,
,"Ramphia albizona","Ramphia albizona Latreille, 1817","1767499","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ramphia","Ramphia albizona","Ramphia albizona","Latreille, 1817","1767499",
,"Nemoria eugeniae","Nemoria eugeniae Pitkin, 1993","1981212","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria","Nemoria eugeniae","Nemoria eugeniae","Pitkin, 1993","1981212",
,"Procalypta victorina","Procalypta victorina Druce, 1884","1812490","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Procalypta","Procalypta subcyanea","Procalypta victorina","Druce, 1884","1812490","1812491"
,"Itomia opistographa--lignaris","Itomia Hübner, 1823","4688242","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Itomia",,"Itomia","Hübner, 1823","4688242",
,"Thysanoprymna superba","Thysanoprymna superba Schaus, 1889","1815290","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Thysanoprymna","Thysanoprymna superba","Thysanoprymna superba","Schaus, 1889","1815290",
,"Macaria tenuiscripta--trigonata","Arthropoda","54","HIGHERRANK","92","ACCEPTED","PHYLUM","Animalia","Arthropoda",,,,,,"Arthropoda",,"54",
,"Dichorda obliquata","Dichorda obliquata Warren, 1904","1980252","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Dichorda","Dichorda obliquata","Dichorda obliquata","Warren, 1904","1980252",
,"Xenosoma flavicedes","Xenosoma flavisedes Dognin, 1891","5116373","FUZZY","94","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Xenosoma","Xenosoma flavisedes","Xenosoma flavisedes","Dognin, 1891","5116373",
,"Herbita amicaria","Herbita amicaria (Schaus, 1912)","1976410","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Herbita","Herbita amicaria","Herbita amicaria","(Schaus, 1912) ","1976410",
,"Opharus bimaculata","Opharus bimaculata Dewitz, 1877","5117646","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Opharus","Opharus bimaculata","Opharus bimaculata","Dewitz, 1877","5117646",
